Location,Arabic,Japanese
,لَيْلَى,レイラ
,معَلِّمٌ,先生
,مَرْأَةٌ,鏡
,مَطَرٌ,雨
,مُحَمَدُ,モハメッド
,مُسْلِمٌ,イスラム教徒
,مُهَنْدِسٌ,エンジニア
,فعل:,動詞
,زمن:,時間：
,مبني للمعلوم/مجهول:,情報のための建物/匿名：
,مثبت/منفي:,インストール/亡命：
,مفعول,目的語
,ظرف زمان:,時間の副詞
,ظرف مكان:,空間名詞
,بناء,生成
,عشوائي,ランダム
,عينة,サンプル
,حركة الإعراب,格変化
,إظهار حركة الإعراب في أواخر الكلمات,語尾変化表示
,اختيار عشوائي للمفردات,語彙のランダム選択
,نسخ عينة جيسون للتجارب البرمجية,ソフトウェア実験のためのJasonサンプル
,بناء الجملة,構文
,مدونتي,ブログ
,الاستضافة بدعم من شركة,サポンサー
