Location,Arabic,spanish
,اِبْنٌ,hijo
,بِنْتٌ,hija
,تَاجِرٌ,comerciante
,حِصَانٌ,caballo
,دِيكٌ,gallo
,رَضِيعٌ,bebé
,زُهُورٌ,flores
,شُرْطِيٌّ,policía (hombre)
,طَالِبٌ,estudiante
,طَبِيبٌ,médico
,طِفْلٌ,niño
,عَامِلٌ,trabajador
,عُمَّالٌ,Trabajadores
,فَاطِمَةُ,Fatima
,فَرَاشَةٌ,mariposa
,قَاضٌِ,juez
,قِطٌّ,gato
,لَيْلَى,Layla
,معَلِّمٌ,Maestro
,مَرْأَةٌ,mujer
,مَطَرٌ,lluvia
,مُحَمَدُ,Mohamed
,مُسْلِمٌ,musulmán
,مُهَنْدِسٌ,Ingeniero
,فعل:,verbo
,زمن:,tiempo:
,مبني للمعلوم/مجهول:,en la voz (activa/pasiva)
,مثبت/منفي:,afirmativo/negativo
,مفعول,objeto
,ظرف زمان:,adverbio de tiempo:
,ظرف مكان:,adverbio de lugar:
,بناء,edificio
,عشوائي,aleatorio
,عينة,una muestra
,حركة الإعراب,el signo diacrítico
,إظهار حركة الإعراب في أواخر الكلمات,mostrar los signos diacríticos al final de la palabra
,اختيار عشوائي للمفردات,seleccionar al azar (plabras)
,نسخ عينة جيسون للتجارب البرمجية,Copiar json muestra para la experimentación.
,بناء الجملة,construir una frase
,مدونتي,mi blog
,الاستضافة بدعم من شركة,patrocinada por
,فاعل,
,فعل مساعد,
,نوع الجملة,

