Location,Arabic,German
,ذَكِيٌ,klug
,سَرِيعٌ,schnell
,سَعِيدٌ,glücklich
,سَمِينٌ,fett
,شُجَاعٌ,mutig
,ضَعِيفٌ,schwach
,طَوِيلٌ,lang
,غَبِيٌ,dumm
,فَرِحٌ,freudig
,قَصِيرٌ,kurz
,قَوِيٌ,stark
,كَرِيمٌ,großzügig
,كَسُولٌ,faul
,لَئِيمٌ,schurkisch
,مَسْرُورٌ,erfreut
,مُبْتَهِجٌ,heiter
,مُجْتَهِدٌ,fleißig
,مُرْتَفِعٌ,hoch
,مُنْخَفِضٌ,niedrig
,هَزِيلٌ,mager
,وَسِيمٌ,Gut aussehend
,أَحْمَد,Ahmed
,وَلَدٌ,Junge
,أَبٌ,Vater
,أَحْمَدُ,Ahmed
,أَسَدٌ,Löwe
,أُمٌّ,Mutter
,اِبْنٌ,Sohn
,بِنْتٌ,Mädchen
,تَاجِرٌ,Kaufmann
,حِصَانٌ,Pferd
,دِيكٌ,Hahn
,رَضِيعٌ,Baby
,زُهُورٌ,Blumen
,شُرْطِيٌّ,Polizist
,طَالِبٌ,Student
,طَبِيبٌ,Arzt
,طِفْلٌ,Kind
,عَامِلٌ,Arbeiter
,عُمَّالٌ,Arbeiter
,فَاطِمَةُ,Fatima
,فَرَاشَةٌ,Schmetterling
,قَاضٌِ,Richter
,قِطٌّ,Katze
,لَيْلَى,Layla
,معَلِّمٌ,Lehrerin
,مَرْأَةٌ,Frau
,مَطَرٌ,Regen
,مُحَمَدُ,Mohammed
,مُسْلِمٌ,Muslim
,مُهَنْدِسٌ,Ingenieur
,فعل:,Verb:
,زمن:,Zeitform:
,مبني للمعلوم/مجهول:,Stimme:
,مثبت/منفي:,
,مفعول,Objekt:
,ظرف زمان:,Zeit:
,ظرف مكان:,Ort:
,بناء,erstellen
,عشوائي,Random
,عينة,Beispiel
,حركة الإعراب,Flexionszeichen
,إظهار حركة الإعراب في أواخر الكلمات,Flexionszeichen am Wortende anzeigen
,اختيار عشوائي للمفردات,Wörter zufällig auswählen
,نسخ عينة جيسون للتجارب البرمجية,Kopieren eines Json-Beispiels zur Durchführung von Tests
,بناء الجملة,Eine Phrase erstellen
,مدونتي,Mein Blog
,الاستضافة بدعم من شركة,Unterstützt von
,فاعل,Betreff
,فعل مساعد,Hilfsverb
,نوع الجملة,Art der Phrase
